n,p_value,seed,type
500,0.165,613,off-target
500,0.991,613,target
500,0.002,614,off-target
500,0.436,614,target
500,0.018,615,off-target
500,0.24,615,target
500,0.057,616,off-target
500,0.995,616,target
500,0.065,617,off-target
500,0.944,617,target
500,0.068,618,off-target
500,0.058,618,target
500,0.023,619,off-target
500,0.158,619,target
500,0.14,620,off-target
500,0.016,620,target
500,0.015,621,off-target
500,0.614,621,target
500,0.339,622,off-target
500,0.073,622,target
500,0.018,623,off-target
500,0.443,623,target
500,0.028,624,off-target
500,0.139,624,target
500,0.0,625,off-target
500,0.899,625,target
500,0.004,626,off-target
500,0.276,626,target
500,0.039,627,off-target
500,0.11,627,target
500,0.029,628,off-target
500,0.236,628,target
500,0.003,629,off-target
500,0.793,629,target
500,0.0,630,off-target
500,0.377,630,target
500,0.001,631,off-target
500,0.784,631,target
500,0.0,632,off-target
500,0.645,632,target
