n,t,p_value,seed,type
500,1000,0.934,94,target
500,1200,0.833,94,off-target
500,1200,0.557,94,target
500,0,0.901,95,off-target
500,0,0.53,95,target
500,800,0.857,95,off-target
500,800,0.758,95,target
500,1000,0.758,95,off-target
500,1000,0.292,95,target
500,1200,0.006,95,off-target
500,1200,0.581,95,target
500,0,0.022,96,off-target
500,0,0.932,96,target
500,800,0.69,96,off-target
500,800,0.363,96,target
500,1000,0.641,96,off-target
500,1000,0.949,96,target
500,1200,0.228,96,off-target
500,1200,0.185,96,target
500,0,0.539,97,off-target
500,0,0.557,97,target
500,800,0.637,97,off-target
500,800,0.911,97,target
500,1000,0.244,97,off-target
500,1000,0.481,97,target
500,1200,0.111,97,off-target
500,1200,0.153,97,target
500,0,0.643,98,off-target
500,0,0.317,98,target
500,800,0.156,98,off-target
500,800,0.422,98,target
500,1000,0.964,98,off-target
500,1000,0.493,98,target
500,1200,0.763,98,off-target
500,1200,0.952,98,target
500,0,0.544,99,off-target
500,0,0.284,99,target
500,800,0.543,99,off-target
500,800,0.569,99,target
500,1000,0.653,99,off-target
500,1000,0.455,99,target
500,1200,0.549,99,off-target
500,1200,0.774,99,target
500,0,0.836,100,off-target
500,0,0.351,100,target
500,800,0.631,100,off-target
500,800,0.565,100,target
500,1000,0.56,100,off-target
500,1000,0.603,100,target
500,1200,0.895,100,off-target
500,1200,0.585,100,target
500,0,0.316,101,off-target
500,0,0.472,101,target
500,800,0.223,101,off-target
500,800,0.184,101,target
500,1000,0.811,101,off-target
500,1000,0.714,101,target
500,1200,0.769,101,off-target
500,1200,0.712,101,target
500,0,0.364,102,off-target
500,0,0.174,102,target
500,800,0.356,102,off-target
500,800,0.357,102,target
500,1000,0.116,102,off-target
500,1000,0.971,102,target
500,1200,0.254,102,off-target
500,1200,0.609,102,target
500,0,0.847,103,off-target
500,0,0.559,103,target
500,800,0.216,103,off-target
500,800,0.46,103,target
500,1000,0.553,103,off-target
500,1000,0.76,103,target
500,1200,0.416,103,off-target
500,1200,0.352,103,target
500,0,0.056,104,off-target
500,0,0.388,104,target
500,800,0.94,104,off-target
500,800,0.567,104,target
500,1000,0.17,104,off-target
500,1000,0.48,104,target
500,1200,0.9,104,off-target
500,1200,0.508,104,target
500,0,0.109,105,off-target
500,0,0.708,105,target
500,800,0.665,105,off-target
500,800,0.179,105,target
500,1000,0.539,105,off-target
500,1000,0.819,105,target
500,1200,0.813,105,off-target
500,1200,0.648,105,target
500,0,0.069,106,off-target
500,0,0.117,106,target
500,800,0.884,106,off-target
500,800,0.915,106,target
500,1000,0.139,106,off-target
500,1000,0.882,106,target
500,1200,0.856,106,off-target
500,1200,0.894,106,target
500,0,0.872,107,off-target
500,0,0.908,107,target
500,800,0.084,107,off-target
500,800,0.254,107,target
500,1000,0.338,107,off-target
500,1000,0.264,107,target
500,1200,0.834,107,off-target
500,1200,0.867,107,target
500,0,0.914,108,off-target
500,0,0.965,108,target
500,800,0.931,108,off-target
500,800,0.742,108,target
500,1000,0.024,108,off-target
500,1000,0.149,108,target
500,1200,0.104,108,off-target
500,1200,0.906,108,target
500,0,0.233,109,off-target
500,0,0.384,109,target
500,800,0.257,109,off-target
500,800,0.186,109,target
500,1000,0.281,109,off-target
500,1000,0.045,109,target
500,1200,0.875,109,off-target
500,1200,0.119,109,target
500,0,0.295,110,off-target
500,0,0.907,110,target
500,800,0.301,110,off-target
500,800,0.879,110,target
500,1000,0.902,110,off-target
500,1000,0.576,110,target
500,1200,0.005,110,off-target
500,1200,0.271,110,target
500,0,0.947,111,off-target
500,0,0.113,111,target
500,800,0.596,111,off-target
500,800,0.401,111,target
500,1000,0.271,111,off-target
500,1000,0.551,111,target
500,1200,0.11,111,off-target
500,1200,0.245,111,target
500,0,0.876,112,off-target
500,0,0.044,112,target
500,800,0.845,112,off-target
500,800,0.049,112,target
500,1000,0.588,112,off-target
500,1000,0.681,112,target
500,1200,0.592,112,off-target
500,1200,0.062,112,target
500,0,0.819,113,off-target
500,0,0.487,113,target
500,800,0.045,113,off-target
500,800,0.894,113,target
500,1000,0.19,113,off-target
500,1000,0.32,113,target
500,1200,0.024,113,off-target
500,1200,0.562,113,target
500,0,0.906,114,off-target
500,0,0.936,114,target
500,800,0.194,114,off-target
500,800,0.614,114,target
500,1000,0.008,114,off-target
500,1000,0.319,114,target
500,1200,0.836,114,off-target
500,1200,0.178,114,target
500,0,0.965,115,off-target
500,0,0.576,115,target
500,800,0.593,115,off-target
500,800,0.666,115,target
500,1000,0.236,115,off-target
500,1000,0.347,115,target
500,1200,0.436,115,off-target
500,1200,0.034,115,target
500,0,0.87,116,off-target
500,0,0.494,116,target
500,800,0.235,116,off-target
500,800,0.65,116,target
500,1000,0.632,116,off-target
500,1000,0.706,116,target
500,1200,0.915,116,off-target
500,1200,0.963,116,target
500,0,0.359,117,off-target
500,0,0.066,117,target
500,800,0.839,117,off-target
500,800,0.762,117,target
500,1000,0.159,117,off-target
500,1000,0.491,117,target
500,1200,0.925,117,off-target
500,1200,0.449,117,target
500,0,0.356,118,off-target
500,0,0.688,118,target
500,800,0.491,118,off-target
500,800,0.499,118,target
500,1000,0.632,118,off-target
500,1000,0.947,118,target
500,1200,0.819,118,off-target
500,1200,0.32,118,target
500,0,0.128,119,off-target
500,0,0.724,119,target
500,800,0.088,119,off-target
500,800,0.509,119,target
500,1000,0.477,119,off-target
500,1000,0.124,119,target
500,1200,0.133,119,off-target
500,1200,0.547,119,target
500,0,0.457,120,off-target
500,0,0.769,120,target
500,800,0.311,120,off-target
500,800,0.408,120,target
500,1000,0.52,120,off-target
500,1000,0.0,120,target
500,1200,0.105,120,off-target
500,1200,0.655,120,target
500,0,0.021,121,off-target
500,0,0.651,121,target
500,800,0.942,121,off-target
500,800,0.763,121,target
500,1000,0.009,121,off-target
500,1000,0.969,121,target
500,1200,0.768,121,off-target
500,1200,0.242,121,target
500,0,0.059,122,off-target
500,0,0.315,122,target
500,800,0.526,122,off-target
500,800,0.98,122,target
500,1000,0.958,122,off-target
500,1000,0.336,122,target
500,1200,0.31,122,off-target
500,1200,0.411,122,target
500,0,0.804,123,off-target
500,0,0.234,123,target
500,800,0.9,123,off-target
500,800,0.598,123,target
500,1000,0.908,123,off-target
500,1000,0.617,123,target
500,1200,0.19,123,off-target
500,1200,0.382,123,target
500,0,0.178,124,off-target
500,0,0.332,124,target
500,800,0.98,124,off-target
500,800,0.141,124,target
500,1000,0.57,124,off-target
500,1000,0.047,124,target
500,1200,0.481,124,off-target
500,1200,0.393,124,target
500,0,0.761,125,off-target
500,0,0.301,125,target
500,800,0.935,125,off-target
500,800,0.815,125,target
500,1000,0.024,125,off-target
500,1000,0.8,125,target
500,1200,0.361,125,off-target
500,1200,0.879,125,target
500,0,0.337,126,off-target
500,0,0.303,126,target
500,800,0.572,126,off-target
500,800,0.938,126,target
500,1000,0.775,126,off-target
500,1000,0.019,126,target
500,1200,0.89,126,off-target
500,1200,0.802,126,target
500,0,0.119,127,off-target
500,0,0.339,127,target
500,800,0.174,127,off-target
500,800,0.784,127,target
500,1000,0.143,127,off-target
500,1000,0.607,127,target
500,1200,0.377,127,off-target
500,1200,0.928,127,target
500,0,0.837,128,off-target
500,0,0.861,128,target
500,800,0.977,128,off-target
500,800,0.001,128,target
500,1000,0.569,128,off-target
500,1000,0.245,128,target
500,1200,0.391,128,off-target
